File,SensorId,Sensor_Location,Feature,Tiro_A,Tiro_B,DTW_Distance
data_P2_tanda_1.csv,LPMSB2-4B339F,Brazo,AccZ (g)_sg,2,3,0.06950528412738338
data_P2_tanda_1.csv,LPMSB2-4B339F,Brazo,AccZ (g)_sg,2,4,0.02225275681316643
data_P2_tanda_1.csv,LPMSB2-4B339F,Brazo,AccZ (g)_sg,2,5,0.056460171056994246
data_P2_tanda_1.csv,LPMSB2-4B339F,Brazo,AccZ (g)_sg,3,4,0.06716119664803372
data_P2_tanda_1.csv,LPMSB2-4B339F,Brazo,AccZ (g)_sg,3,5,0.042174244238552906
data_P2_tanda_1.csv,LPMSB2-4B339F,Brazo,AccZ (g)_sg,4,5,0.04692408981119542
data_P2_tanda_2.csv,LPMSB2-4B3285,Mano de Suelta,AccZ (g)_sg,1,2,0.2542051672935488
data_P2_tanda_2.csv,LPMSB2-4B3285,Mano de Suelta,AccZ (g)_sg,1,3,0.28522062301635764
data_P2_tanda_2.csv,LPMSB2-4B3285,Mano de Suelta,AccZ (g)_sg,1,4,0.6212130784988407
data_P2_tanda_2.csv,LPMSB2-4B3285,Mano de Suelta,AccZ (g)_sg,1,5,0.33868253231048645
data_P2_tanda_2.csv,LPMSB2-4B3285,Mano de Suelta,AccZ (g)_sg,2,3,0.031015455722808866
data_P2_tanda_2.csv,LPMSB2-4B3285,Mano de Suelta,AccZ (g)_sg,2,4,0.36700791120529214
data_P2_tanda_2.csv,LPMSB2-4B3285,Mano de Suelta,AccZ (g)_sg,2,5,0.08447736501693712
data_P2_tanda_2.csv,LPMSB2-4B3285,Mano de Suelta,AccZ (g)_sg,3,4,0.33599245548248335
data_P2_tanda_2.csv,LPMSB2-4B3285,Mano de Suelta,AccZ (g)_sg,3,5,0.05346190929412758
data_P2_tanda_2.csv,LPMSB2-4B3285,Mano de Suelta,AccZ (g)_sg,4,5,0.28253054618835466
data_P2_tanda_2.csv,LPMSB2-4B3322,Mano de Arco,AccZ (g)_sg,1,2,0.15484869480133034
data_P2_tanda_2.csv,LPMSB2-4B3322,Mano de Arco,AccZ (g)_sg,1,3,0.15008801221847504
data_P2_tanda_2.csv,LPMSB2-4B3322,Mano de Arco,AccZ (g)_sg,1,4,0.058753401041030266
data_P2_tanda_2.csv,LPMSB2-4B3322,Mano de Arco,AccZ (g)_sg,1,5,0.11506414413452137
data_P2_tanda_2.csv,LPMSB2-4B3322,Mano de Arco,AccZ (g)_sg,2,3,0.004760682582855233
data_P2_tanda_2.csv,LPMSB2-4B3322,Mano de Arco,AccZ (g)_sg,2,4,0.09609529376029978
data_P2_tanda_2.csv,LPMSB2-4B3322,Mano de Arco,AccZ (g)_sg,2,5,0.039784550666809006
